alpha;tot_oil;tot_gas;W1_choke;W2_choke;W3_choke;W4_choke;W5_choke;W6_choke;W7_choke;W1_gas_mean;W2_gas_mean;W3_gas_mean;W4_gas_mean;W5_gas_mean;W6_gas_mean;W7_gas_mean;W1_oil_mean;W2_oil_mean;W3_oil_mean;W4_oil_mean;W5_oil_mean;W6_oil_mean;W7_oil_mean;W1_oil_var;W2_oil_var;W3_oil_var;W4_oil_var;W5_oil_var;W6_oil_var;W7_oil_var;W1_gas_var;W2_gas_var;W3_gas_var;W4_gas_var;W5_gas_var;W6_gas_var;W7_gas_var;;sum var;sum std;exp gas;1std;2std;3std;;;;"""-2std"
0,42;55,61845585;107132,4408;72,98409504;36,62923735;0;14,02528823;0;28,0524154;0;41144,2858;42577,0417;0;775,5244579;0;22635,58883;3,18E-12;28,75337688;10,22046678;0;6,628904312;1,23E-08;10,01570787;0;75,49658237;2,190205326;0;4,291101829;0;5,259198052;0;4450412,337;4577573,807;0;0;0;15137650,49;0;;24165636,63;4915,855635;107132,4408;112048,2964;116964,1521;121880,0077;29,06260269;1;250000;97300,72951
0,43;56,9427048;110724,9801;72,98409504;36,62923735;0;14,02528823;0;29,9376282;0;41144,2858;42577,0417;1,50E-10;775,5244579;-8,07E-10;26228,12815;-3,74E-10;28,75337688;10,22046678;0;6,628904312;0;11,33995683;0;75,49658237;2,190205326;0;4,291101829;0;5,849469236;0;4450412,337;4577573,807;0;0;0;16134853,72;0;;25162839,86;5016,257555;110724,9801;115741,2377;120757,4952;125773,7528;27,76472666;1;250000;100692,465
0,44;58,26695375;114404,7091;72,98409504;36,72897802;0;14,02528823;0;31,81899332;0;41144,2858;42671,56365;0;775,5244579;0;29813,33517;2,96E-12;28,75337688;10,23021709;0;6,628904312;0;12,65445546;0;75,49658237;2,184801562;0;4,291101829;0;6,438535687;0;4450412,337;4589233,147;0;0;0;17130021,68;0;;26169667,16;5115,629694;114404,7091;119520,3388;124635,9685;129751,5982;26,5060802;1;250000;104173,4497
0,45;59,5912027;120824,4272;72,98409504;36,72897802;0;14,02528823;0;35,18779004;0;41144,2858;42671,56365;0;775,5244579;1,71E-10;36233,05324;-3,75E-10;28,75337688;10,23021709;0;6,628904312;0;13,97870441;0;75,49658237;2,184801562;0;4,291101829;0;7,63704643;0;4450412,337;4589233,147;0;0;0;18911982,31;0;;27951627,79;5286,929902;120824,4272;126111,3571;131398,287;136685,2169;24,43300275;1;250000;110250,5674
0,46;60,91545165;124368,5479;72,98409504;36,72897802;0;14,02528823;0;38,55658676;0;41144,2858;42671,56365;0;775,5244579;2,56E-11;39777,174;-3,74E-10;28,75337688;10,23021709;0;6,628904312;0;15,30295336;0;75,49658237;2,184801562;0;4,291101829;0;9,494667208;0;4450412,337;4589233,147;0;0;0;20693942,93;0;;29733588,42;5452,851402;124368,5479;129821,3993;135274,2507;140727,1021;23,03958843;1;250000;113462,8451
0,47;62,2397006;126150,0654;72,98409504;36,72897802;0;14,02528823;0;41,92538348;0;41144,2858;42671,56365;0;775,5244579;2,85E-10;41558,69146;-5,24E-12;28,75337688;10,23021709;0;6,628904312;0;16,62720231;0;75,49658237;2,184801562;0;4,291101829;0;11,35228799;0;4450412,337;4589233,147;0;0;0;22475903,56;0;;31515549,04;5613,871128;126150,0654;131763,9365;137377,8076;142991,6788;22,06141392;1;250000;114922,3231
0,48;63,56394955;127931,5828;72,98409504;36,72897802;0;14,02528823;0;45,2941802;0;41144,2858;42671,56365;0;775,5244579;-8,07E-10;43340,20891;3,18E-12;28,75337688;10,23021709;0;6,628904312;0;17,95145126;0;75,49658237;2,184801562;0;4,291101829;0;13,20990877;0;4450412,337;4589233,147;0;0;0;24257864,19;0;;33297509,67;5770,399438;127931,5828;133701,9823;139472,3817;145242,7811;21,15424045;1;250000;116390,784
0,49;64,8881985;129713,1003;72,98409504;36,72897802;0;14,02528823;0;48,66297692;0;41144,2858;42671,56365;0;775,5244579;-3,07E-11;45121,72637;-3,77E-10;28,75337688;10,23021709;0;6,628904312;0;19,27570021;0;75,49658237;2,184801562;0;4,291101829;0;15,08620516;0;4450412,337;4589233,147;0;0;0;26039824,81;0;;35079470,3;5922,792441;129713,1003;135635,8927;141558,6852;147481,4776;20,30915331;1;250000;117867,5154
0,5;66,21244744;131389,6659;72,98409504;36,72897802;0;14,02528823;0;52,03177365;0;41144,2858;42671,56365;-1,84E-10;775,5244579;0;46798,29203;3,40E-12;28,75337688;10,23021709;0;6,628904312;0;20,59994916;0;75,49658237;2,184801562;0;4,291101829;0;17,80705583;0;4450412,337;4589233,147;0;0;0;27821785,44;0;;36861430,92;6071,361538;131389,6659;137461,0275;143532,389;149603,7506;19,53603542;1;250000;119246,9429
0,51;67,53669639;132960,7564;72,98409504;36,72897802;0;14,02528823;0;55,40057035;0;41144,2858;42671,56365;0;775,5244579;-8,07E-10;48369,38245;-7,91E-10;28,75337688;10,23021709;0;6,628904312;8,79E-09;21,9241981;0;75,49658237;2,184801562;0;4,291101829;0;20,52790649;0;4450412,337;4589233,147;0;0;0;29603746,05;0;;38643391,54;6216,380904;132960,7564;139177,1373;145393,5182;151609,8991;18,82755344;1;250000;120527,9946
