;W1_gas_mean;W1_gas_var;W1_gas_X;W2_gas_mean;W2_gas_var;W2_gas_X;W3_gas_mean;W3_gas_var;W3_gas_X;W4_gas_mean;W4_gas_var;W4_gas_X;W5_gas_mean;W5_gas_var;W5_gas_X;W6_gas_mean;W6_gas_var;W6_gas_X;W7_gas_mean;W7_gas_var;W7_gas_X
78;42177.4453125;1820.1741;78;81783.171875;5842.43;78;58635.18359375;16817.586;78;63326.71;13875.369;78;81844.3359375;13881.003;78;58900.37890625;6738.5537;78;72348.21875;18693.768;78
79;42383.421875;1732.7296;79;82730.84375;6780.2134;79;59051.85546875;13464.05;79;63631.715;16116.167;79;83153.28125;16047.948;79;59366.359375;7009.2609999999995;79;73137.1015625;15522.168;79
80;42589.39453125;1666.5736;80;83678.515625;7173.1943;80;59468.52734375;15233.595;80;64096.152;16218.688;80;84462.2421875;17986.129;80;59832.34375;6104.4043;80;73925.9921875;18362.33;80
81;42795.37109375;1681.656;81;84626.203125;7654.3975;81;59885.20703125;15967.231000000002;81;64725.863;17265.355;81;85771.1796875;16750.328;81;60298.328125;5982.396;81;74714.8828125;15100.847;81
82;43001.3515625;1608.7379;82;85573.875;7571.9805;82;60301.87890625;17375.904;82;66246.85;16195.058;82;87080.125;20080.322;82;60764.3125;7131.3413;82;75503.78125;16224.579;82
83;43207.32421875;1589.6538;83;86521.5546875;7949.1274;83;60718.55078125;12764.937;83;65679.95;19559.832;83;88389.0625;19466.555;83;61230.30078125;6896.4844;83;76292.6640625;21729.047;83
84;43413.30078125;1622.0625;84;87469.234375;7284.010999999998;84;61135.22265625;21353.83;84;67495.13;16130.523;84;89698.0078125;13830.126;84;61696.28515625;6667.2007;84;77081.5546875;17158.295;84
85;43619.27734375;1470.6901;85;88416.90625;7678.3726;85;61546.4375;18009.566000000006;85;68242.875;18104.965;85;91006.953125;15304.027;85;62162.26953125;6154.718000000003;85;77870.453125;18746.016;85
86;43825.25390625;1485.1351;86;89364.578125;7254.2227;86;61956.90234375;15343.764;86;68202.35;19210.05;86;92315.890625;22809.479;86;62628.25;7551.503000000002;86;78659.34375;19662.498;86
87;44031.23046875;1480.2864;87;90312.265625;7988.264;87;62367.3671875;19267.162;87;69948.305;17342.742;87;93624.84375;16794.084;87;63094.234375;6925.0684;87;79448.234375;19597.668;87
88;44237.20703125;1487.5852;88;91259.9375;8460.33;88;62777.82421875;17703.07;88;70043.47;17739.312;88;94933.78125;22080.48;88;63560.2265625;6795.453;88;80237.125;22603.045;88
89;44443.18359375;1586.6478;89;92207.625;8427.341999999999;89;63188.28515625;21216.867;89;69668.16;21113.865;89;96242.7265625;22795.053;89;64026.20703125;7400.9130000000005;89;81026.0078125;19198.822;89
90;44649.16015625;1459.4147;90;93155.28125;8815.114;90;63598.74609375;16046.846;90;71745.64;17956.645;90;97551.671875;19341.125;90;64492.1953125;7101.5713;90;81814.8984375;23301.254;90
91;44855.1328125;1476.8401;91;94102.96875;8442.2705;91;64009.21484375;21575.39;91;71961.46;21356.248;91;98860.6171875;23314.924;91;64958.17578125;7357.626;91;82603.796875;23344.984;91
92;45061.11328125;1486.1023;92;95050.65625;9400.709;92;64419.6796875;20533.834;92;74236.95;15339.95;92;100169.5625;22963.371;92;65424.1640625;7085.821;92;83392.6796875;21960.91;92
93;45267.0859375;1500.7035;93;95998.328125;8532.983;93;64830.14453125;22385.12;93;73320.51;21772.143;93;101478.515625;27878.076;93;65890.671875;8028.5444;93;84181.578125;17994.154;93
94;45473.0625;1481.6844;94;96946.015625;7821.034000000002;94;65240.6015625;21597.316000000006;94;74580.61;20591.16;94;102787.453125;30847.549;94;66358.2421875;7571.806;94;84970.453125;19420.254;94
95;45679.0390625;1556.4523;95;97893.6875;7670.7173;95;65651.0625;14683.59;95;74271.61;25973.545;95;104096.3984375;25299.41;95;66825.8125;7340.2617;95;85759.359375;15802.483;95
96;45885.015625;1420.274;96;98841.359375;9357.565;96;66061.5234375;20709.98;96;74645.47;26132.295;96;105405.34375;20449.732;96;67293.375;7125.1836;96;86548.2421875;26178.795;96
97;46090.9921875;1448.7031;97;99789.03125;8774.0;97;66471.9921875;22168.74;97;76752.016;21370.637;97;106714.28125;21530.459;97;67760.9375;6892.9077;97;87337.1328125;24481.662;97
98;46296.96875;1445.6722;98;100736.703125;9117.65;98;66882.4453125;22821.025;98;78161.9;21370.879;98;108023.234375;19062.021;98;68228.5;8128.195;98;88126.03125;23923.33;98
99;46502.9453125;1534.9691;99;101684.390625;9015.028;99;67292.90625;25533.756;99;78651.98;21868.898;99;109332.1484375;22273.147999999997;99;68696.0703125;6748.821999999999;99;88914.921875;23655.195;99
100;46708.921875;1469.5184;100;102632.0625;10075.525;100;67703.375;30370.857000000004;100;79425.87;21884.715;100;110641.1171875;17256.154;100;69163.6328125;7311.3477;100;89703.7890625;22145.287;100
