scenarios;tot_cap;tot_oil;tot_gas;W1_indiv_cap;W2_indiv_cap;W3_indiv_cap;W4_indiv_cap;W5_indiv_cap;W6_indiv_cap;W7_indiv_cap;W1_choke;W2_choke;W3_choke;W4_choke;W5_choke;W6_choke;W7_choke;W1_gas_mean;W2_gas_mean;W3_gas_mean;W4_gas_mean;W5_gas_mean;W6_gas_mean;W7_gas_mean;W1_oil_mean;W2_oil_mean;W3_oil_mean;W4_oil_mean;W5_oil_mean;W6_oil_mean;W7_oil_mean;W1_changed;W2_changed;W3_changed;W4_changed;W5_changed;W6_changed;W7_changed
10.0;250000.0;140.28040397082327;239492.2747313507;54166.0;54166.0;54166.0;54166.0;54166.0;54166.0;54166.0;72.984;30.0;57.034600366065774;38.66194732214365;47.84;62.6;50.34;39901.05712260665;4655.859151391386;44296.52980701615;21035.352094590467;40923.7376714073;48105.53882293432;40574.20006140443;28.753332987124306;7.1296215;23.6079597446435;15.940385866253084;21.559025159999997;24.754239660723673;18.535839052078696;0.0;0.9999999999999998;1.0000000000000002;1.0;0.0;0.0;0.0
10.0;250000.0;138.7318768673572;227454.82211287314;54166.0;54166.0;54166.0;54166.0;54166.0;54166.0;54166.0;72.984;30.0;59.78017654515924;32.32625818268137;47.84;62.6;50.34;39374.77036397271;3704.6528876773687;44413.95790669217;8710.561538486032;39408.11767923077;47575.924085673636;44266.83765114047;28.75333298712431;7.129621500000002;25.095731614410944;12.90408689301954;21.559025160000004;24.754239660723677;18.535839052078696;0.0;1.0;1.0;1.0;0.0;0.0;0.0
10.0;250000.0;139.68340426186396;235579.06362856738;54166.0;54166.0;54166.0;54166.0;54166.0;54166.0;54166.0;72.984;30.0;54.83113781205179;39.907701221902066;47.839999999999996;62.6;50.34000000000001;39023.228562837765;4036.4502676509437;41849.823313983514;22953.09105762151;39073.65019823448;48255.83276785316;40386.98746038599;28.753332987124306;7.1296215;22.41394821842523;16.537397683512037;21.55902516;24.754239660723673;18.535839052078696;0.0;1.0;1.0;1.0;0.0;0.0;4.119968255444917e-17
10.0;250000.0;140.69559831623297;236641.7685570527;54166.0;54166.0;54166.0;54166.0;54166.0;54166.0;54166.0;72.984;30.0;59.70112119373855;36.513243753640054;47.84;62.6;50.34000000000001;39802.55848681711;5401.008197474306;47038.723774308906;17573.96787780533;37414.184632043005;47204.84588142969;42206.47970717437;28.753332987124306;7.129621500000001;25.052893127941736;14.910646828364555;21.559025160000008;24.754239660723673;18.535839052078696;0.0;1.0;1.0;1.0;0.0;0.0;0.0
10.0;250000.0;142.208215967131;242368.3622022536;54166.0;54166.0;54166.0;54166.0;54166.0;54166.0;54166.0;72.984;30.730264498331366;58.76597165427077;40.00000000000011;47.84;62.60000000000081;50.34;39330.335436362635;6201.527444116689;45198.0227739485;22233.726706930058;39962.221523044325;48045.26655189366;41397.26176595771;28.753332987124306;7.477993781295388;24.546154619121513;16.58163070678711;21.559025160000004;24.754239660723993;18.535839052078693;0.0;1.0;1.0;1.0;0.0;0.0;0.0
10.0;250000.0;131.41742491465394;240256.0435664377;54166.0;54166.0;54166.0;54166.0;54166.0;54166.0;54166.0;72.984;47.067;36.05727747412559;30.0;47.84;56.851213341971324;50.34;39481.2562943863;51284.126136117;17923.156529859803;4779.331196046629;40397.03182481963;43313.84031491798;43077.30127029037;28.753332987124306;12.5977676976;15.687766881375875;11.789257049560547;21.559025160000004;22.49443608691451;18.535839052078696;0.0;0.0;1.0;1.0;0.0;1.0;0.0
10.0;250000.0;143.852050027147;232506.86983133992;54166.0;54166.0;54166.0;54166.0;54166.0;54166.0;54166.0;72.984;30.00000000000006;65.71073751969818;35.15466216828783;47.84;62.6;50.34;39681.15506583675;3964.3797347481304;47971.854308034366;14465.490187884809;38122.64287501377;48359.54541115872;39941.802248663385;28.753332987124306;7.129621500000011;28.860427898939243;14.25956376828104;21.559025160000015;24.754239660723677;18.535839052078696;0.0;1.0;1.0;1.0;0.0;0.0;0.0
10.0;250000.0;139.79748928868187;233931.34998192708;54166.0;54166.0;54166.0;54166.0;54166.0;54166.0;54166.0;72.984;30.0;59.374005613585325;35.009079425603296;47.84;62.6;50.34000000000001;39851.25272264178;4687.4363385514125;45190.19600660123;14717.807227118323;38416.6814029893;48454.25037837347;42613.72590565156;28.753332987124306;7.1296215;24.875635850572976;14.189795078182224;21.559025160000004;24.754239660723673;18.535839052078693;0.0;1.0;1.0;1.0;0.0;0.0;0.0
10.0;250000.0;136.4515451108191;227189.47901652748;54166.0;54166.0;54166.0;54166.0;54166.0;54166.0;54166.0;72.984;31.578826154120424;40.000000000000014;40.0;47.84;62.6;50.34;39741.3257474987;10134.51891892835;24978.452669867005;23095.009811038257;39873.94681560037;47978.75744824858;41387.46760534622;28.753332987124306;7.882799657142427;18.38467788696289;16.58163070678711;21.559025159999997;24.754239660723677;18.535839052078693;0.0;1.0;1.0;1.0;0.0;0.0;0.0
10.0;250000.0;139.76840585040753;240475.19254663948;54166.0;54166.0;54166.0;54166.0;54166.0;54166.0;54166.0;72.984;30.310421557299442;54.633090387985895;39.99999999999999;47.84;62.6;50.34;39977.79459677172;5831.73258508282;45099.276753470825;21970.772304310103;38974.54258030474;46858.30896381839;41762.76476288088;28.753332987124306;7.277707934883217;22.30663034881054;16.58163070678711;21.559025160000004;24.754239660723673;18.535839052078696;0.0;1.0;1.0;1.0;0.0;0.0;0.0
10.0;250000.0;131.87590113039568;242206.84941797372;54166.0;54166.0;54166.0;54166.0;54166.0;54166.0;54166.0;72.984;47.067;37.81675730858936;30.0;47.84;54.95586416079884;50.34;39719.688793746776;51397.47783474628;21624.936343147638;4441.719159719465;39722.11542033896;42092.020935968394;43208.89093030622;28.753332987124306;12.5977676976;16.89129071510581;11.789257049560547;21.559025160000008;21.74938846892629;18.535839052078696;0.0;0.0;1.0;1.0;0.0;1.0;0.0
10.0;250000.0;144.38846011562515;241057.70317891118;54166.0;54166.0;54166.0;54166.0;54166.0;54166.0;54166.0;72.984;30.0;64.2512712200559;38.2180572774991;47.83999999999999;62.6;50.34;39696.91528844217;4433.75885836109;48858.379128531335;19390.039732252077;38628.30607523929;47720.44650277596;42329.857593309236;28.75333298712431;7.1296215;27.92874458511133;15.727657170587118;21.55902516;24.754239660723677;18.535839052078693;0.0;1.0;1.0;1.0;2.7755575615628914e-16;0.0;0.0
10.0;250000.0;138.2446661987384;238646.68242244556;54166.0;54166.0;54166.0;54166.0;54166.0;54166.0;54166.0;72.984;35.33760014970845;40.0;40.0;47.84000000000001;62.6;50.34;39461.27731917683;23699.604625139233;24586.88848647574;23042.04611661061;39479.773081167266;47289.223614680595;41087.86917919532;28.753332987124306;9.67592074506173;18.38467788696289;16.58163070678711;21.559025160000004;24.754239660723673;18.535839052078696;0.0;1.0;1.0;1.0;0.0;0.0;0.0
10.0;250000.0;138.34240494824024;239393.33427185143;54166.0;54166.0;54166.0;54166.0;54166.0;54166.0;54166.0;72.984;35.542481946294245;40.0;40.0;47.84;62.6;50.34;39147.67756832218;24452.873465172146;24652.69757267727;23523.955802406697;37399.23590960928;47872.684652644995;42344.20930101888;28.753332987124306;9.773659494563562;18.38467788696289;16.58163070678711;21.55902516;24.754239660723677;18.535839052078696;0.0;1.0;1.0;1.0;0.0;0.0;0.0
10.0;250000.0;139.0961293275389;234768.95250541662;54166.0;54166.0;54166.0;54166.0;54166.0;54166.0;54166.0;72.984;30.00000000000014;57.5113277029236;35.65174070892392;47.84;62.60000000000043;50.34;39588.58579046478;5007.482871913158;44449.921450259615;15738.449421139969;39370.059395929224;48344.30828331044;42270.14529239942;28.753332987124306;7.129621500000022;23.866288588959307;14.497782378652742;21.559025160000004;24.75423966072384;18.535839052078693;0.0;1.0;1.0;1.0;0.0;0.0;0.0
10.0;250000.0;138.6962166429543;240000.76214201062;54166.0;54166.0;54166.0;54166.0;54166.0;54166.0;54166.0;72.984;30.0;55.637831145880845;36.93564932163897;47.839999999999996;62.6;50.34;40067.84872858009;4761.18528507463;44597.506853204875;17530.806677309614;44664.326474256304;47481.38961582626;40897.698507758854;28.753332987124306;7.1296215;22.85107892298869;15.113079360038938;21.55902516;24.754239660723677;18.535839052078693;0.0;1.0;1.0;1.0;5.204170427930421e-17;0.0;0.0
10.0;250000.0;139.16125872284644;235770.18626374373;54166.0;54166.0;54166.0;54166.0;54166.0;54166.0;54166.0;72.984;30.0;57.48948446874554;35.812341290158784;47.84;62.60000000000081;50.34;39703.73774182574;5037.32163809706;47737.75739272113;15106.594498702889;37467.88538382886;48116.71036016899;42600.17924839905;28.753332987124306;7.1296215;23.85445218478217;14.57474817813727;21.55902516;24.754239660723993;18.535839052078696;0.0;1.0;1.0;1.0;0.0;0.0;0.0
10.0;250000.0;138.75192447866397;232713.3638387539;54166.0;54166.0;54166.0;54166.0;54166.0;54166.0;54166.0;72.984;30.0;56.728447069017065;35.818719003646116;47.84;62.6;50.34;40151.86552430561;3743.2323261976308;44024.844351995926;15235.62693376955;39289.93440286741;47689.35823478515;42578.50206483259;28.753332987124306;7.1296215;23.442061501989013;14.577804616748267;21.559025160000004;24.754239660723677;18.535839052078696;0.0;1.0;1.0;1.0;0.0;0.0;0.0
