n;mean_score_time;mean_test_score;mean_train_score;param_dropout;param_regu;params;rank_test_score;split0_test_score;split0_train_score;split1_test_score;split1_train_score;split2_test_score;split2_train_score;std_fit_time;std_score_time;std_test_score;std_train_score
9.253241856892904;2.8380661805470786;-4.623672723770142;-3.9412167072296143;0.3;1,00E-06;{'dropout': 0.3, 'regu': 1e-06};28;-4.617786407470703;-3.4872944355010986;-4.58807373046875;-4.25310754776001;-4.685900688171387;-4.083248138427734;0.14340019266511125;0.02783013536213806;0.03816158120085228;0.32837694429122116
3.1628657976786294;0.5124508539835612;-4.648669064044952;-3.7563013235727944;0.05;0.005;{'dropout': 0.05, 'regu': 0.005};29;-4.431762218475342;-3.1162843704223633;-5.806746006011963;-5.385051727294922;-3.2369139194488525;-2.7675678730010986;0.24077664382129904;0.016760461256729663;1.0093734149274844;1.1604659142235882
3.8550209999084473;0.7468811670939127;-4.660237342119217;-3.778019348780314;0.1;1,00E-05;{'dropout': 0.1, 'regu': 1e-05};30;-3.681779146194458;-2.10636830329895;-5.557022571563721;-5.1452956199646;-4.7827467918396;-4.082394123077393;0.305223592836706;0.006709977519024827;0.8150789606924654;1.2591671351639462
9.029964367548624;2.7233773867289224;-4.689536422491074;-4.05175765355428;0.25;0.01;{'dropout': 0.25, 'regu': 0.01};31;-5.078268527984619;-3.978053569793701;-3.925621747970581;-3.6333632469177246;-5.252310276031494;-4.543856143951416;0.1678055123479982;0.09254729845696813;0.5955526487877725;0.3753429967904387
6.06088391939799;1.3999340534210205;-4.6949469447135925;-3.914325475692749;0.15000000000000002;0.0001;{'dropout': 0.15000000000000002, 'regu': 0.0001};32;-4.654958724975586;-3.4431450366973877;-5.129970073699951;-4.7524213790893555;-4.1023945808410645;-3.547410011291504;0.6068863986739514;0.02462514947070355;0.39918184284773855;0.5941500111921277
7.028452555338542;1.9825193881988525;-4.757221877574921;-4.03330397605896;0.2;0.005;{'dropout': 0.2, 'regu': 0.005};33;-4.575303077697754;-3.370516538619995;-4.5900797843933105;-4.251770973205566;-5.280813217163086;-4.477624416351318;0.05729792519870455;0.0030549566322522342;0.3023633098131069;0.4776454995533683
4.3027237256368;0.9034441312154134;-4.774475157260895;-4.020543575286865;0.1;0.001;{'dropout': 0.1, 'regu': 0.001};34;-5.498292446136475;-4.5592803955078125;-5.229145050048828;-4.848664283752441;-3.006744384765625;-2.653686046600342;0.35155516039623236;0.016543601025594157;1.0272324898302236;0.9737078228740446
2.5841371218363443;0.3021386464436849;-4.896640837192535;-4.209594488143921;0.05;1,00E-05;{'dropout': 0.05, 'regu': 1e-05};35;-5.548948764801025;-4.64572286605835;-4.522846221923828;-4.196842670440674;-4.478870868682861;-3.7862179279327393;0.09912762420453;0.0073577723704113035;0.5055625126593446;0.35100725662644067
8.166855891545614;2.3623410065968833;-4.961820662021637;-4.221951405207316;0.25;5,00E-06;{'dropout': 0.25, 'regu': 5e-06};36;-5.438077449798584;-4.467974662780762;-4.728914260864258;-4.386885643005371;-4.596795082092285;-3.8109939098358154;0.18757439940146156;0.07587958545054872;0.37243877127935626;0.2924704025293798
5.91293986638387;1.5615487098693848;-5.003887116909027;-4.460114161173503;0.15000000000000002;0.01;{'dropout': 0.15000000000000002, 'regu': 0.01};37;-7.258627414703369;-6.91888427734375;-4.028154373168945;-3.7359097003936768;-3.0853757858276367;-2.725548505783081;0.044844835522850596;0.031605584364811555;1.784274924447189;1.7868725563625827
6.352048397064209;1.793434778849284;-5.022338271141052;-4.2244813442230225;0.2;1,00E-05;{'dropout': 0.2, 'regu': 1e-05};38;-4.722091197967529;-3.5525779724121094;-5.77392053604126;-5.348588466644287;-4.345335483551025;-3.772277593612671;0.04770032442089279;0.030813056668773306;0.6001810316890555;0.7999081605191017
